id,common_name,scientific_name,cycle,watering,sunlight
2007,autumn crocus,Colchicum cilicicum,Perennial,Average,"Full sun, part shade"
2008,autumn crocus,Colchicum 'Disraeli',Perennial,Average,"Full sun, part shade"
2009,autumn crocus,Colchicum (group),Perennial,Average,"Full sun, part shade"
2010,autumn crocus,Colchicum tenorei,Perennial,Average,"Full sun, part shade"
2011,autumn crocus,Colchicum 'Violet Queen',Perennial,Minimum,"Full sun, part shade"
2012,autumn crocus,Colchicum 'Waterlily',Perennial,Average,"Full sun, part shade"
2013,blue-eyed Mary,Collinsia verna,Annual,Average,Part shade
2014,horse balm,Collinsonia canadensis,Herbaceous Perennial,Average,Part shade
2015,taro,Colocasia esculenta,Perennial,Frequent,"full sun, part sun/part shade"
2016,taro,Colocasia esculenta 'Black Magic',Perennial,Frequent,"Filtered shade,  Part sun/part shade"
2017,taro,Colocasia esculenta 'Black Ripple',Perennial,Frequent,"Filtered shade,  Part sun/part shade"
2018,taro,Colocasia esculenta 'Blue Hawaii',Perennial,Frequent,"Filtered shade,  Part sun/part shade"
2019,taro,Colocasia esculenta 'Elena',Perennial,Frequent,part sun/part shade
2020,taro,Colocasia esculenta 'Hawaiian Punch',Perennial,Frequent,"filtered shade, part sun/part shade"
2021,taro,Colocasia esculenta 'Kona Coffee',Perennial,Frequent,"Filtered shade,  Part sun/part shade"
2022,taro,Colocasia esculenta 'Mojito',Perennial,Frequent,"Filtered shade,  Part sun/part shade"
2023,taro,Colocasia esculenta 'Royal Hawaiian Aloha',Perennial,Frequent,"Filtered shade,  Part sun/part shade"
2024,taro,Colocasia esculenta 'Tropical Storm',Perennial,Frequent,"Filtered shade,  Part sun/part shade"
2025,taro,Colocasia esculenta (vegetable group),Perennial,Frequent,"filtered shade, part sun/part shade"
2026,taro,Colocasia fallax,Perennial,Frequent,"part shade, part sun/part shade"
2027,giant elephant's ear,Colocasia gigantea,Herbaceous Perennial,Frequent,"full sun, part shade"
2028,giant elephant's ear,Colocasia gigantea 'Thailand Giant Strain',Herbaceous Perennial,Average,"full sun, part shade"
2029,Himalayan mint shrub,Colquhounia coccinea,Perennial,Average,"Full sun, part shade"
2030,columnea,Columnea microcalyx,Perennial,Average,"full sun, part sun/part shade"
2031,bladder senna,Colutea media,Perennial,Minimum,Full sun
2032,sweet fern,Comptonia peregrina,Perennial,Minimum,"Full sun, part shade"
2033,mistflower,Conoclinium coelestinum 'Cori',Herbaceous Perennial,Frequent,"Full sun, part shade"
2034,thoroughwort,Conoclinium greggii,Herbaceous Perennial,Average,"Full sun, part shade"
2035,Cumberland rosemary,Conradina verticillata,Perennial,Minimum,Full sun
2036,giant larkspur,Consolida ajacis,Annual,Average,Full sun
2037,lily of the valley,Convallaria majalis,Herbaceous Perennial,Average,"Part shade, full shade"
2038,lily of the valley,Convallaria majalis 'Golden Slippers',Herbaceous Perennial,Average,"Part shade, full shade"
2039,lily of the valley,Convallaria majalis 'Potsdam Stripe',Herbaceous Perennial,Average,"Part shade, full shade"
2040,lily of the valley,Convallaria majalis var. rosea,Herbaceous Perennial,Average,"Part shade, full shade"
2041,silverbush,Convolvulus cneorum,Perennial,Minimum,Full sun
2042,bindweed,Convolvulus tricolor,Annual,Average,Full sun
2043,Black Cloud Mirror Bush,Coprosma 'Black Cloud',Perennial,Average,"part shade, filtered shade"
2044,cabbage tree,Cordyline australis 'Salsa',Perennial,Average,"full sun, part sun/part shade"
2045,cabbage tree,Cordyline fruticosa,Perennial,Average,"full sun, part sun/part shade"
2046,mountain palm,Cordyline indivisa,Perennial,Average,"part shade, full sun"
2047,ear-leaved tickseed,Coreopsis auriculata 'Nana',Herbaceous Perennial,Average,Full sun
2048,ear-leaved tickseed,Coreopsis auriculata 'Zamphir',Herbaceous Perennial,Average,Full sun
2049,tickseed,Coreopsis 'Autumn Blush',Herbaceous Perennial,Minimum,Full sun
2050,tickseed,Coreopsis 'Creme Brulee',Herbaceous Perennial,Minimum,Full sun
2051,tickseed,Coreopsis 'Gold Nugget',Herbaceous Perennial,Minimum,Full sun
2052,tickseed,Coreopsis 'Goldfink',Herbaceous Perennial,Minimum,Full sun
2053,large-flowered tickseed,Coreopsis grandiflora,Herbaceous Perennial,Minimum,Full sun
2054,large-flowered tickseed,Coreopsis grandiflora 'Domino',Herbaceous Perennial,Minimum,Full sun
2055,large-flowered tickseed,Coreopsis grandiflora 'Early Sunrise',Herbaceous Perennial,Minimum,Full sun
2056,large-flowered tickseed,Coreopsis grandiflora 'Mayfield Giant',Herbaceous Perennial,Minimum,Full sun
2057,tickseed,Coreopsis grandiflora SUN UP,Herbaceous Perennial,Minimum,Full sun
2058,large-flowered tickseed,Coreopsis grandiflora 'Sundancer',Herbaceous Perennial,Minimum,Full sun
2059,large-flowered tickseed,Coreopsis grandiflora 'Walcoreop' FLYING SAUCERS,Herbaceous Perennial,Minimum,Full sun
2060,fringeleaf tickseed,Coreopsis integrifolia,Herbaceous Perennial,Frequent,"Full sun, part shade"
2061,tickseed,Coreopsis 'Jethro Tull',Herbaceous Perennial,Minimum,Full sun
2062,lanceleaf coreopsis,Coreopsis lanceolata,Herbaceous Perennial,Minimum,Full sun
2063,lanceleaf coreopsis,Coreopsis lanceolata 'Summer Sprite',Herbaceous Perennial,Minimum,Full sun
2064,tickseed,Coreopsis 'Lightning Flash',Herbaceous Perennial,Minimum,Full sun
2065,tickseed,Coreopsis LI'L BANG GOLDILOCKS,Herbaceous Perennial,Minimum,Full sun
2066,tickseed,Coreopsis 'Limerock Ruby',Herbaceous Perennial,Minimum,Full sun
2067,greater tickseed,Coreopsis major,Herbaceous Perennial,Minimum,Full sun
2068,tickseed,Coreopsis 'Mercury Rising',Herbaceous Perennial,Minimum,Full sun
2069,tickseed,Coreopsis 'Moonlight',Herbaceous Perennial,Minimum,Full sun
2070,tickseed,Coreopsis palmata,Herbaceous Perennial,Minimum,Full sun
2071,tickseed,Coreopsis 'Pinwheel',Herbaceous Perennial,Frequent,full sun
2072,tickseed,Coreopsis pubescens,Herbaceous Perennial,Minimum,Full sun
2073,tickseed,Coreopsis pubescens 'Sunshine Superman',Herbaceous Perennial,Minimum,Full sun
2074,tickseed,Coreopsis 'Red Elf',Herbaceous Perennial,Minimum,Full sun
2075,tickseed,Coreopsis 'Red Satin' PERMATHREAD,Herbaceous Perennial,Average,"full sun, part sun/part shade"
2076,tickseed,Coreopsis 'Redshift',Herbaceous Perennial,Average,Full sun
2077,tickseed,Coreopsis rosea,Herbaceous Perennial,Average,Full sun Partial sun
2078,tickseed,Coreopsis rosea 'Alba',Herbaceous Perennial,Average,Full sun Partial sun
2079,tickseed,Coreopsis rosea 'American Dream',Herbaceous Perennial,Frequent,full sun
2080,tickseed,Coreopsis rosea 'Heaven's Gate',Herbaceous Perennial,Average,Full sun Partial sun
2081,tickseed,Coreopsis rosea 'Sweet Dreams',Herbaceous Perennial,Average,Full sun Partial sun
2082,tickseed,Coreopsis 'Route 66',Herbaceous Perennial,Minimum,Full sun
2083,tickseed,Coreopsis 'Sienna Sunset',Herbaceous Perennial,Minimum,Full sun
2084,tickseed,Coreopsis SOLANNA GOLDEN SPHERE,Herbaceous Perennial,Minimum,Full sun
2085,tickseed,Coreopsis 'Sonnenkind' BABY SUN,Herbaceous Perennial,Minimum,Full sun
2086,tickseed,Coreopsis 'Sunburst',Herbaceous Perennial,Minimum,Full sun
2087,tickseed,Coreopsis 'Sunray',Herbaceous Perennial,Minimum,Full sun
2088,tickseed,Coreopsis 'Sweet Marmalade',Herbaceous Perennial,Minimum,Full sun
2089,tickseed,Coreopsis 'Tequila Sunrise',Herbaceous Perennial,Minimum,Full sun
2090,plains coreopsis,Coreopsis tinctoria,Annual,Minimum,Full sun
2091,tickseed,Coreopsis tripteris,Herbaceous Perennial,Minimum,Full sun
2092,threadleaf coreopsis,Coreopsis verticillata,Herbaceous Perennial,Minimum,Full sun
2093,threadleaf coreopsis,Coreopsis verticillata 'Golden Dream',Herbaceous Perennial,Minimum,Full sun
2094,threadleaf coreopsis,Coreopsis verticillata 'Golden Gain',Herbaceous Perennial,Minimum,Full sun
2095,threadleaf coreopsis,Coreopsis verticillata 'Grandiflora',Herbaceous Perennial,Minimum,Full sun
2096,threadleaf coreopsis,Coreopsis verticillata 'Moonbeam',Herbaceous Perennial,Minimum,Full sun
2097,threadleaf coreopsis,Coreopsis verticillata 'Zagreb',Herbaceous Perennial,Minimum,Full sun
2098,cilantro,Coriandrum sativum,Annual,Average,"Full sun, part shade"
2099,tatarian dogwood,Cornus alba,Perennial,Average,"Full sun, part shade"
2100,tatarian dogwood,Cornus alba 'Argenteomarginata',Perennial,Average,"Full sun, part shade"
2101,tatarian dogwood,Cornus alba 'Bailhalo' IVORY HALO,Perennial,Average,"Full sun, part shade"
2102,tatarian dogwood,Cornus alba 'Byboughen' NEON BURST,Perennial,Average,"Full sun, part shade"
2103,tatarian dogwood,Cornus alba 'Gouchaultii',Perennial,Average,"Full sun, part shade"
2104,tatarian dogwood,Cornus alba 'Kesselringii',Perennial,Average,"Full sun, part shade"
2105,tatarian dogwood,Cornus alba 'Prairie Fire',Perennial,Average,"Full sun, part shade"
2106,tatarian dogwood,Cornus alba 'Regnzam' RED GNOME,Perennial,Average,"Full sun, part shade"
2107,tatarian dogwood,Cornus alba 'Siberian Pearls',Perennial,Average,"Full sun, part shade"
2108,tatarian dogwood,Cornus alba 'Sibirica',Perennial,Average,"Full sun, part shade"
2109,tatarian dogwood,Cornus alba 'Spaethii',Perennial,Average,"Full sun, part shade"
2110,dogwood,Cornus amomum,Perennial,Frequent,"Full sun, part shade"
2111,swamp dogwood,Cornus amomum subsp. obliqua,Perennial,Frequent,"Full sun, part shade"
2112,bunchberry,Cornus canadensis,Perennial,Average,Part shade
2113,evergreen dogwood,Cornus capitata,Perennial,Average,"Full sun, part shade"
2114,dogwood,Cornus drummondii,Perennial,Frequent,"Full sun, part shade"
2115,dogwood,Cornus elliptica,Perennial,Average,"Full sun, part shade"
2116,dogwood,Cornus elliptica 'Elsbry' EMPRESS OF CHINA,Perennial,Average,"Full sun, part shade"
2117,flowering dogwood,Cornus florida 'Appalachian Spring',Perennial,Average,"Full sun,  Part sun/part shade"
2118,flowering dogwood,Cornus florida 'Cloud Nine',Perennial,Average,"Full sun,  Part sun/part shade"
2119,flowering dogwood,Cornus florida 'Comco No. 1' CHEROKEE BRAVE,Perennial,Average,"Full sun,  Part sun/part shade"
2120,flowering dogwood,Cornus florida 'Daybreak',Perennial,Average,"Full sun,  Part sun/part shade"
2121,flowering dogwood,Cornus florida f. rubra,Perennial,Average,"Full sun,  Part sun/part shade"
2122,flowering dogwood,Cornus florida 'Ozark Spring',Perennial,Average,"Full sun,  Part sun/part shade"
2123,flowering dogwood,Cornus florida 'Purple Glory',Perennial,Average,"Full sun,  Part sun/part shade"
2124,flowering dogwood,Cornus florida 'Red Pygmy',Perennial,Average,"Full sun,  Part sun/part shade"
2125,flowering dogwood,Cornus florida 'Royal Red',Perennial,Average,"Full sun,  Part sun/part shade"
2126,flowering dogwood,Cornus florida 'White Cloud',Perennial,Average,"Full sun,  Part sun/part shade"
2127,flowering dogwood,Cornus florida 'Xanthocarpa',Perennial,Average,"Full sun,  Part sun/part shade"
2128,hybrid dogwood,Cornus 'Kn30 8' VENUS,Perennial,Average,"Full sun, part shade"
2129,kousa dogwood,Cornus kousa 'Fireworks',Perennial,Average,part sun/part shade
2130,kousa dogwood,Cornus kousa 'Kristin Lipka's Variegated Weeper',Perennial,Average,"Full sun, part shade"
2131,kousa dogwood,Cornus kousa 'Peve Limbo',Perennial,Average,"full sun, part shade"
2132,kousa dogwood,Cornus kousa 'Snow Tower',Perennial,Average,"Full sun, part shade"
2133,Chinese dogwood,Cornus kousa var. chinensis,Perennial,Average,"Full sun, part shade"
2134,kousa dogwood,Cornus kousa var. chinensis 'Madison' CROWN JEWEL,Perennial,Average,"Full sun, part shade"
2135,Chinese dogwood,Cornus kousa var. chinensis 'Milky Way',Perennial,Average,"Full sun, part shade"
2136,kousa dogwood,Cornus kousa 'Weaver's Weeping',Perennial,Average,"Full sun, part shade"
2137,cornelian cherry dogwood,Cornus mas 'Golden Glory',Perennial,Average,"Full sun, part shade"
2138,mountain dogwood,Cornus nuttallii,Perennial,Frequent,"Deep shade,  Filtered shade,  Full sun,  Part sun/part shade"
2139,Japanese cornelian cherry,Cornus officinalis,Perennial,Average,"Full sun, part shade"
2140,gray dogwood,Cornus racemosa,Perennial,Frequent,"Full sun, part shade"
2141,dogwood,Cornus 'Rutcan' CONSTELLATION,Perennial,Average,"Full sun, part shade"
2142,dogwood,Cornus 'Rutdan' CELESTIAL,Perennial,Average,"Full sun, part shade"
2143,dogwood,Cornus 'Rutfan' STARDUST,Perennial,Average,"Full sun, part shade"
2144,dogwood,Cornus 'Rutgan' STELLAR PINK,Perennial,Average,"Full sun, part shade"
2145,bloodtwig dogwood,Cornus sanguinea,Perennial,Average,"Full sun, part shade"
2146,bloodtwig dogwood,Cornus sanguinea 'Compressa',Perennial,Average,"Full sun, part shade"
2147,bloodtwig dogwood,Cornus sanguinea 'Winter Beauty',Perennial,Average,"Full sun, part shade"
2148,red twig dogwood,Cornus sericea,Perennial,Frequent,"Full sun, part shade"
2149,red twig dogwood,Cornus sericea 'Allemans',Perennial,Frequent,"Full sun, part shade"
2150,yellowtwig dogwood,Cornus sericea 'Budd's Yellow',Perennial,Frequent,"Full sun, part shade"
2151,yellow twig dogwood,Cornus sericea 'Flaviramea',Perennial,Frequent,"Full sun,  Part sun/part shade"
2152,red twig dogwood,Cornus sericea 'Hedgerows Gold',Perennial,Frequent,"Full sun, part shade"
2153,red twig dogwood,Cornus sericea 'KLM RR' ERIKA THE BLONDE,Perennial,Frequent,"Full sun, part shade"
2154,red twig dogwood,Cornus sericea 'Neil Z' PUCKER UP,Perennial,Frequent,"Full sun, part shade"
2155,dogwood,Cornus wilsoniana,Perennial,Average,"Full sun, part shade"
2156,corydalis,Corydalis 'Berry Exciting',Herbaceous Perennial,Average,"Part shade, full shade"
2157,corydalis,Corydalis 'Blackberry Wine',Herbaceous Perennial,Average,"Part shade, full shade"
2158,corydalis,Corydalis 'Canary Feathers',Herbaceous Perennial,Average,"Part shade, full shade"
2159,corydalis,Corydalis flexuosa,Herbaceous Perennial,Average,Part shade
2160,corydalis,Corydalis lutea,Herbaceous Perennial,Average,"Part shade, full shade"
2161,corydalis,Corydalis ophiocarpa,Herbaceous Perennial,Average,"Part shade, full shade"
2162,fumewort,Corydalis solida,Herbaceous Perennial,Frequent,"Part shade, full shade"
2163,winter hazel,Corylopsis glabrescens,Perennial,Average,"Full sun, part shade"
2164,winter hazel,Corylopsis glabrescens var. gotoana,Perennial,Average,"Full sun, part shade"
2165,winter hazel,Corylopsis sinensis,Perennial,Average,"Full sun, part shade"
2166,American hazelnut,Corylus americana,Perennial,Minimum,Full sun Partial sun
2167,Harry Lauder's walking stick,Corylus avellana 'Contorta',Perennial,Average,"Full sun,  Part sun/part shade"
2168,hazelnut,Corylus avellana 'Red Dragon',Perennial,Average,"Full sun, part shade"
2169,large filbert,Corylus maxima,Perennial,Average,"Full sun, part shade"
2170,lemon eucalyptus,Corymbia citriodora,Perennial,Average,Full sun
2171,chocolate cosmos,Cosmos atrosanguineus,Herbaceous Perennial,Minimum,Full sun
2172,cosmos,Cosmos sulphureus,Annual,Average,"full sun, part shade"
2173,smoketree,Cotinus coggygria 'Ancot' GOLDEN SPIRIT,Perennial,Average,"Full sun,  Part sun/part shade"
2174,smoketree,Cotinus coggygria 'Daydream',Perennial,Average,"Full sun,  Part sun/part shade"
2175,smoketree,Cotinus coggygria 'Young Lady',Perennial,Average,"Full sun,  Part sun/part shade"
2176,cotoneaster,Cotoneaster acutifolius,Perennial,Average,"Full sun, part shade"
2177,rock cotoneaster,Cotoneaster atropurpureus 'Variegatus',Perennial,Average,"Full sun, part shade"
2178,cotoneaster,Cotoneaster cochleatus,Perennial,Average,"Full sun, part shade"
2179,cotoneaster,Cotoneaster divaricatus,Perennial,Average,"Full sun, part shade"
2180,cotoneaster,Cotoneaster franchetii,Perennial,Average,"Full sun, part shade"
2181,cotoneaster,Cotoneaster glaucophyllus,Perennial,Average,"Full sun, part shade"
2182,cotoneaster,Cotoneaster hessei,Perennial,Average,"Full sun, part shade"
2183,rock cotoneaster,Cotoneaster horizontalis,Perennial,Average,"Full sun,  Part sun/part shade"
2184,rock cotoneaster,Cotoneaster horizontalis 'Robusta',Perennial,Average,"Full sun,  Part sun/part shade"
2185,rock cotoneaster,Cotoneaster horizontalis var. perpusillus,Perennial,Average,"Full sun,  Part sun/part shade"
2186,cotoneaster,Cotoneaster integerrimus 'Centennial',Perennial,Average,Full sun
2187,small-leaved cotoneaster,Cotoneaster microphyllus,Perennial,Average,"Full sun, part shade"
2188,creeping cotoneaster,Cotoneaster nanshan,Perennial,Average,"Full sun, part shade"
2189,cotoneaster,Cotoneaster suavis,Perennial,Average,"Full sun, part shade"
2190,cannonball tree,Couroupita guianensis,Perennial,Frequent,full sun
2191,colewort,Crambe cordifolia,Herbaceous Perennial,Average,Full sun
2192,sea kale,Crambe maritima,Herbaceous Perennial,Frequent,"full sun, part shade"
2193,jade plant,Crassula ovata,Perennial,Minimum,full sun
2194,hawthorn,Crataegus coccinea,Perennial,Average,Full sun
2195,cockspur thorn,Crataegus crus-galli,Perennial,Average,Full sun
2196,cockspur thorn,Crataegus crus-galli 'Cruzam' CRUSADER,Perennial,Average,Full sun
2197,cockspur thorn,Crataegus crus-galli (thornless form),Perennial,Average,Full sun
2198,black hawthorn,Crataegus douglasii,Perennial,Frequent,Full sun Partial sun
2199,hawthorn,Crataegus lavalleei,Perennial,Average,Full sun
2200,hawthorn,Crataegus nitida,Perennial,Minimum,"full sun, part shade"
2201,Washington hawthorn,Crataegus phaenopyrum,Perennial,Average,Full sun
2202,hawthorn,Crataegus punctata 'Ohio Pioneer',Perennial,Average,Full sun
2203,cockspur thorn,Crataegus 'Vaughn',Perennial,Average,Full sun
2204,green hawthorn,Crataegus viridis,Perennial,Minimum,Full sun
2205,green hawthorn,Crataegus viridis 'Winter King',Perennial,Minimum,Full sun
2206,common calabash tree,Crescentia cujete,Perennial,Average,"Full sun, part shade"
2207,Florida swamp lily,Crinum americanum,Perennial,Frequent,"Full sun, part shade"
2208,poison bulb,Crinum asiaticum,Perennial,Average,"Full sun, part shade"
2209,crinum,Crinum bulbispermum,Perennial,Average,"Full sun, part shade"
2210,crinum,Crinum 'Ellen Bosanquet',Perennial,Average,"Full sun, part shade"
2211,crinum,Crinum (group),Perennial,Average,"Full sun, part shade"
2212,crinum,Crinum jagus,Perennial,Average,"full sun, part shade"
2213,crinum,Crinum powellii,Perennial,Average,"Full sun, part shade"
2214,montbretia,Crocosmia 'Blos' BRESSINGHAM BEACON,Perennial,Average,"Full sun, part shade"
2215,montbretia,Crocosmia crocosmiiflora 'Buttercup',Herbaceous Perennial,Average,"Full sun, part shade"
2216,montbretia,Crocosmia crocosmiiflora 'George Davison',Herbaceous Perennial,Average,"Full sun, part shade"
2217,montbretia,Crocosmia crocosmiiflora 'His Majesty',Herbaceous Perennial,Average,"Full sun, part shade"
2218,montbretia,Crocosmia crocosmiiflora NOVA DRAGONFIRE,Herbaceous Perennial,Average,"Full sun, part shade"
2219,montbretia,Crocosmia crocosmiiflora 'Solfatare',Herbaceous Perennial,Average,"Full sun, part shade"
2220,montbretia,Crocosmia 'Cropom' IRISH SUNSET,Perennial,Average,"Full sun, part shade"
2221,montbretia,Crocosmia 'Emberglow',Perennial,Average,"Full sun, part shade"
2222,montbretia,Crocosmia 'Emily McKenzie',Perennial,Average,"Full sun, part shade"
2223,montbretia,Crocosmia 'Gold Rush',Herbaceous Perennial,Average,"Full sun, part shade"
2224,montbretia,Crocosmia 'Lucifer',Perennial,Average,"Full sun, part shade"
2225,montbretia,Crocosmia pottsii,Perennial,Average,"Full sun, part shade"
2226,snow crocus,Crocus chrysanthus,Perennial,Average,"Full sun, part shade"
2227,snow crocus,Crocus chrysanthus 'Advance',Perennial,Average,"Full sun, part shade"
2228,snow crocus,Crocus chrysanthus 'Goldilocks',Perennial,Average,"Full sun, part shade"
2229,snow crocus,Crocus chrysanthus 'Snowbunting',Perennial,Average,"Full sun, part shade"
2230,crocus,Crocus luteus 'Golden Yellow',Perennial,Average,"Full sun, part shade"
2231,saffron crocus,Crocus sativus,Perennial,Average,"Full sun, part shade"
2232,Sieber's crocus,Crocus sieberi subsp. atticus 'Firefly',Perennial.,Average,"Full sun, part shade"
2233,snow crocus,Crocus tommasinianus,Perennial,Average,"Full sun, part shade"
2234,snow crocus,Crocus tommasinianus 'Ruby Giant',Perennial,Average,"Full sun, part shade"
2235,Dutch crocus,Crocus vernus,Perennial,Average,"Full sun, part shade"
2236,Spring crocus,Crocus vernus 'Flower Record',Perennial,Average,"Full sun, part shade"
2237,Spring crocus,Crocus vernus 'Jeanne d'Arc',Perennial,Average,"Full sun, part shade"
2238,Spring crocus,Crocus vernus 'Pickwick',Perennial,Average,"Full sun, part shade"
2239,Spring crocus,Crocus vernus 'Purpureus Grandiflorus',Perennial,Average,"Full sun, part shade"
2240,Spring crocus,Crocus vernus 'Remembrance',Perennial,Average,"Full sun, part shade"
2241,Spring crocus,Crocus vernus 'Striped Beauty',Perennial,Average,"Full sun, part shade"
2242,firecracker flower,Crossandra infundibuliformis,Perennial,Average,"part shade, part sun/part shade"
2243,alabama croton,Croton alabamensis,Perennial,Average,"Full sun, part shade"
2244,cryptanthus,Cryptanthus (group),Perennial,Average,"part shade, part sun/part shade"
2245,Japanese cedar,Cryptomeria japonica 'Elegans Nana',Perennial,Average,"Full sun,  Part sun/part shade,  Sheltered"
2246,Japanese cedar,Cryptomeria japonica 'Radicans',Perennial,Average,"Full sun,  Part sun/part shade,  Sheltered"
2247,Japanese cedar,Cryptomeria japonica 'Spiralis',Perennial,Average,"Full sun,  Part sun/part shade,  Sheltered"
2248,Canadian honewort,Cryptotaenia canadensis,Herbaceous Perennial,Average,Partial sun Shade
2249,Japanese parsley,Cryptotaenia japonica f. atropurpurea,Herbaceous Perennial,Average,Part shade
2250,melon,Cucumis melo var. flexuosus,Annual,Average,Full sun
2251,cucumber,Cucumis sativus,Annual,Average,full sun
2252,winter squash,Cucurbita argyrosperma,Annual,Average,full sun
2253,winter squash,Cucurbita maxima,Annual,Average,"full sun, part sun/part shade"
2254,winter squash,Cucurbita moschata,Annual,Average,full sun
2255,summer squash,Cucurbita pepo,Annual,Average,full sun
2256,common dittany,Cunila origanoides,Herbaceous Perennial,Minimum,"Full sun, part shade"
2257,China-fir,Cunninghamia lanceolata,Perennial,Average,"Full sun,  Part sun/part shade"
2258,cuphea,Cuphea 'David Verity',Perennial,Average,Full sun
2259,false heather,Cuphea hyssopifolia,Perennial,Average,Full sun
2260,cigar flower,Cuphea ignea,Perennial,Average,full sun
2261,cuphea,Cuphea llavea,Perennial,Average,Full sun
2262,bat-faced cuphea,Cuphea purpurea,Perennial,Average,"full sun, part shade"
2263,cuphea,Cuphea VERMILLIONAIRE,Annual,Frequent,"full sun, part sun/part shade"
2264,blue waxweed,Cuphea viscosissima,Annual,Average,Full sun
2265,Kashmir cypress,Cupressus cashmeriana,Perennial,Average,part sun/part shade
2266,Italian cypress,Cupressus sempervirens,Perennial,Minimum,"full sun, part shade"
2267,Italian cypress,Cupressus sempervirens 'Glauca',Perennial,Average,Full sun
2268,Italian cypress,Cupressus sempervirens subsp. dupreziana,Perennial,Minimum,Full sun
2269,Siam tulip,Curcuma alismatifolia 'Pink',Herbaceous Perennial,Average,"full sun, part shade"
2270,common turmeric,Curcuma longa,Herbaceous Perennial,Frequent,"Full sun, part shade"
2271,queen lily,Curcuma petiolata,Herbaceous Perennial,Average,Part shade
2272,Sago palm,Cycas revoluta,Perennial,Average,"full sun, part shade"
2273,cycad,Cycas rumphii,Perennial,Average,"Full sun, part shade"
2274,Persian violet,Cyclamen hederifolium,Herbaceous Perennial,Average,"filtered shade, part sun/part shade"
2275,cyclamen,Cyclamen persicum,Perennial,Average,"part shade, part sun/part shade"
2276,quince,Cydonia oblonga,Perennial,Average,Full sun
2277,cymbalaria,Cymbalaria aequitriloba,Herbaceous Perennial,Average,"part shade, part sun/part shade"
2278,Kenilworth ivy,Cymbalaria muralis,Herbaceous Perennial,Average,"Part shade, full shade"
2279,orchid,Cymbidium (group),Perennial,Average,part sun/part shade
2280,lemon grass,Cymbopogon citratus,Perennial,Average,Full sun
2281,cardoon,Cynara cardunculus,Herbaceous Perennial,Average,Full sun
2282,cardoon,Cynara cardunculus (Cardoon Group) 'Rouge D'Alger',Annual,Minimum,"Full sun, part shade"
2283,artichoke,Cynara cardunculus (Scolymus Group),Herbaceous Perennial,Average,Full sun
2284,Bermuda grass,Cynodon dactylon 'Sundevil',Perennial,Frequent,full sun
2285,Bermuda grass,Cynodon dactylon 'Yukon',Perennial,Minimum,Full sun
2286,Chinese forget-me-not,Cynoglossum amabile,Herbaceous Perennial,Average,Full sun
2287,umbrella plant,Cyperus alternifolius 'Variegatus',Perennial,Average,"part shade, part sun/part shade"
2288,umbrella plant,Cyperus involucratus,Perennial,Frequent,"full sun, part shade"
2289,umbrella plant,Cyperus involucratus 'Baby Tut',Perennial,Minimum,"part sun/part shade, full sun"
2290,umbrella plant,Cyperus involucratus 'Gracilis',Perennial,Average,"full sun, part sun/part shade"
2291,papyrus,Cyperus papyrus KING TUT,Perennial,Average,"Full sun, part shade"
2292,tree tomato,Cyphomandra betacea,Perennial,Average,"Full sun, part shade"
2293,lady slipper,Cypripedium kentuckiense,Perennial,Frequent,"Part shade, full shade"
2294,Japanese holly fern,Cyrtomium falcatum,Perennial,Frequent,"filtered shade, part sun/part shade"
2295,Japanese holly fern,Cyrtomium fortunei,Perennial,Frequent,"part shade, full shade"
2296,sealing wax palm,Cyrtostachys renda,Perennial,Average,"full sun, part shade"
2297,lowland fragile fern,Cystopteris protrusa,Perennial,Average,"Part shade, full shade"
2298,pineapple broom,Cytisus kewensis,Perennial,Average,Full sun
2299,Scotch broom,Cytisus scoparius,Perennial,Minimum,Full sun
2300,dahlia,Dahlia (group),Herbaceous Perennial,Average,Full sun
2301,dahlia,Dahlia 'Lavender Chiffon',Herbaceous Perennial,Average,Full sun
2302,decorative dahlia,Dahlia 'Prinzessin Irene von Preussen',Herbaceous Perennial,Average,Full sun
2303,dahlia,Dahlia 'Softie',Herbaceous Perennial,Average,Full sun
2304,white prairie clover,Dalea candida,Herbaceous Perennial,Average,Full sun
2305,Gattinger's prairie clover,Dalea gattingeri,Herbaceous Perennial,Minimum,Full sun
2306,daphne,Daphne burkwoodii 'Carol Mackie',Perennial,Average,Part shade
2307,daphne,Daphne burkwoodii 'Silveredge',Perennial,Average,Part shade
2308,daphne,Daphne burkwoodii 'Somerset',Perennial,Average,Part shade
2309,daphne,Daphne cneorum,Perennial,Average,"Full sun only if soil kept moist,  Part sun/part shade"
2310,daphne,Daphne kurdica,Perennial,Minimum,"Full sun, part shade"
2311,mezereon,Daphne mezereum,Perennial,Average,"Full sun, part shade"
2312,winter daphne,Daphne odora,Perennial,Average,Part shade
2313,winter daphne,Daphne odora 'Aureomarginata',Perennial,Average,Part sun/part shade
2314,daphne,Daphne transatlantica 'Blafra' ETERNAL FRAGRANCE,Perennial,Average,Part shade
2315,daphniphyllum,Daphniphyllum macropodum,Perennial,Average,Part shade
2316,daphniphyllum,Daphniphyllum macropodum subsp. humile,Perennial,Average,Part shade
2317,umbrella plant,Darmera peltata,Herbaceous Perennial,Frequent,"Part shade, full shade"
2318,pricklyburr,Datura inoxia,Herbaceous Perennial,Average,Full sun
2319,horn-of-plenty,Datura metel,Herbaceous Perennial,Average,Full sun
